State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1994_MN,MN,1994,5262482,5581140,0,821693
1994_MS,MS,1994,1911579,1919812,0,505962
1994_MO,MO,1994,4488359,4575564,0,878541
1994_MT,MT,1994,878986,878084,0,164341
1994_NE,NE,1994,1710913,1769248,0,287100
1994_NV,NV,1994,1266549,1344245,0,250747
1994_NH,NH,1994,1145147,1119762,0,189319
1994_NJ,NJ,1994,6957898,6765105,0,1174206
1994_NM,NM,1994,1342868,1223759,0,327248
1994_NY,NY,1994,23933662,25359726,0,2766208
1994_NC,NC,1994,5648390,5740906,0,1156767
1994_ND,ND,1994,603902,621313,0,119288
1994_OH,OH,1994,10735756,10780138,0,1814290
1994_OK,OK,1994,1518540,1529205,0,609718
1994_OR,OR,1994,3088542,3191792,0,521945
1994_PA,PA,1994,13271564,13701725,0,1764946
1994_RI,RI,1994,1012987,994885,0,147487
1994_SC,SC,1994,3179542,3156251,0,648725
1994_SD,SD,1994,507927,525289,0,143482
1994_TN,TN,1994,3535898,3661470,0,881425
1994_TX,TX,1994,19713604,19224149,0,3677171
1994_UT,UT,1994,1792011,1846448,0,474675
1994_VT,VT,1994,892124,869710,0,104533
1994_VA,VA,1994,6125739,6276362,0,1060809
1994_WA,WA,1994,5739012,5968590,0,938314
1994_WV,WV,1994,1854403,1843973,0,310511
1994_WI,WI,1994,5682439,5860230,0,860581
1994_WY,WY,1994,674921,623146,0,100314
1995_AL,AL,1995,3367437,3353363,0,746149
1995_AK,AK,1995,1117068,1203817,0,127618
1995_AZ,AZ,1995,3815218,4056279,0,743566
1995_AR,AR,1995,2057550,2155067,0,453257
1995_CA,CA,1995,29512214,30097549,0,5536406
1995_CO,CO,1995,3709875,3766191,0,656279
1995_CT,CT,1995,4420632,4252186,0,517935
1995_DE,DE,1995,802018,772669,0,108461
1995_DC,DC,1995,700111,708224,0,79802
1995_FL,FL,1995,13242710,13473977,0,2176222
1995_GA,GA,1995,7052825,7292267,0,1311126
1995_HI,HI,1995,1173579,1157159,0,187180
1995_ID,ID,1995,1083215,1108075,0,243097
1995_IL,IL,1995,12236673,11821661,0,1943623
1995_IN,IN,1995,6514934,6377558,0,977263
1995_IA,IA,1995,3076971,3100772,0,502343
1995_KS,KS,1995,2826943,2756682,0,463008
1995_KY,KY,1995,3508673,3415870,0,659821
1995_LA,LA,1995,3791795,3735603,0,797366
1995_ME,ME,1995,1446745,1438795,0,213569
1995_MD,MD,1995,5580123,5610071,0,805544
1995_MA,MA,1995,7326904,6706082,0,915007
1995_MI,MI,1995,12500208,12477806,0,1641456
1995_MN,MN,1995,5744447,6155324,0,835166
1995_MS,MS,1995,2118973,2160068,0,506272
1995_MO,MO,1995,4852467,4957215,0,889881
1995_MT,MT,1995,911284,899635,0,165547
1995_NE,NE,1995,1832463,1874253,0,289744
1995_NV,NV,1995,1367710,1381200,0,265041
1995_NH,NH,1995,1197945,1232465,0,194171
1995_NJ,NJ,1995,11870183,11961696,0,1197381
1995_NM,NM,1995,1646265,1540683,0,329640
1995_NY,NY,1995,25063999,26540967,0,2813230
1995_NC,NC,1995,6076939,6217951,0,1183090
1995_ND,ND,1995,642234,621904,0,119100
1995_OH,OH,1995,11368650,11330046,0,1836015
1995_OK,OK,1995,3156526,3180275,0,616393
1995_OR,OR,1995,3302062,3255984,0,527914
1995_PA,PA,1995,13957035,14135826,0,1787533
1995_RI,RI,1995,1089859,1056716,0,149799
1995_SC,SC,1995,3389646,3286673,0,645586
1995_SD,SD,1995,684882,693964,0,144685
1995_TN,TN,1995,3870164,3958973,0,893770
1995_TX,TX,1995,20483376,20198924,0,3748167
1995_UT,UT,1995,1953833,2045331,0,477121
1995_VT,VT,1995,934916,891398,0,105565
1995_VA,VA,1995,6354418,6590998,0,1079854
1995_WA,WA,1995,5985425,6200754,0,956572
1995_WV,WV,1995,1916605,1925100,0,307112
1995_WI,WI,1995,6006745,6056854,0,870175
1995_WY,WY,1995,634237,642935,0,99859
1996_AL,AL,1996,3365113,3572283,0,747932
1996_AK,AK,1996,1120346,1240031,0,129919
1996_AZ,AZ,1996,4143304,4391555,0,799250
1996_AR,AR,1996,2183384,2297381,0,457349
1996_CA,CA,1996,31282981,31561692,0,5686198
1996_CO,CO,1996,3891203,4075165,0,673438
1996_CT,CT,1996,4686025,4538234,0,527129
1996_DE,DE,1996,860410,823530,0,110549
1996_DC,DC,1996,678874,703245,0,78648
1996_FL,FL,1996,13684457,13936240,0,2242212
1996_GA,GA,1996,7764687,7934236,0,1346761
1996_HI,HI,1996,1199019,1231550,0,187653
1996_ID,ID,1996,1134052,1198223,0,245252
1996_IL,IL,1996,12732129,12423100,0,1973040
1996_IN,IN,1996,6422662,6644035,0,982876
1996_IA,IA,1996,3258040,3284185,0,502941
1996_KS,KS,1996,2914544,3007653,0,466293
1996_KY,KY,1996,3622788,3826435,0,656089
1996_LA,LA,1996,3879633,3815375,0,793296
1996_ME,ME,1996,1485138,1465093,0,213593
1996_MD,MD,1996,5688918,5825606,0,818583
1996_MA,MA,1996,7129757,7479576,0,933898
1996_MI,MI,1996,13012080,13071893,0,1685714
1996_MN,MN,1996,6101416,6423285,0,847204
1996_MS,MS,1996,2241561,2268726,0,503967
1996_MO,MO,1996,5251014,5277785,0,900517
1996_MT,MT,1996,944623,924259,0,164627
1996_NE,NE,1996,1909834,1940808,0,291967
1996_NV,NV,1996,1551169,1608989,0,282131
1996_NH,NH,1996,1269380,1295106,0,198308
1996_NJ,NJ,1996,12389781,12469216,0,1227832
1996_NM,NM,1996,1750519,1642517,0,332632
1996_NY,NY,1996,26026366,26974514,0,2843131
1996_NC,NC,1996,6516400,6517111,0,1210108
1996_ND,ND,1996,655971,657809,0,120123
1996_OH,OH,1996,12172778,11935582,0,1844698
1996_OK,OK,1996,3185234,3195426,0,620695
1996_OR,OR,1996,3375710,3509765,0,537854
1996_PA,PA,1996,14671368,15048791,0,1804256
1996_RI,RI,1996,1135192,1092459,0,151324
1996_SC,SC,1996,3594408,3493720,0,652816
1996_SD,SD,1996,710728,689818,0,143331
1996_TN,TN,1996,4123018,4284181,0,904818
1996_TX,TX,1996,22241369,22401797,0,3828975
1996_UT,UT,1996,2035726,2150719,0,481812
1996_VT,VT,1996,965238,975817,0,106341
1996_VA,VA,1996,6674519,6903384,0,1096093
1996_WA,WA,1996,6354593,6578388,0,974504
1996_WV,WV,1996,1958647,1936848,0,304052
1996_WI,WI,1996,6342623,6521058,0,879259
1996_WY,WY,1996,664057,676305,0,99058
1997_AL,AL,1997,3981788,3963624,208148,749207
1997_AK,AK,1997,1131950,1237103,36474,132123
1997_AZ,AZ,1997,4343262,4432360,217764,814113
1997_AR,AR,1997,2355859,2379496,133449,456497
1997_CA,CA,1997,35614934,33862281,1578929,5803887
1997_CO,CO,1997,4133275,4398196,192259,687167
1997_CT,CT,1997,4788489,4642835,140872,535164
1997_DE,DE,1997,898926,889631,33188,111960
1997_DC,DC,1997,711625,686059,15896,77111
1997_FL,FL,1997,14363709,14564750,613761,2294077
1997_GA,GA,1997,8248199,8483477,365429,1375980
1997_HI,HI,1997,1213792,1241375,53448,189887
1997_ID,ID,1997,1200186,1293705,75579,244403
1997_IL,IL,1997,13929105,13920593,558129,1998289
1997_IN,IN,1997,7885141,7325086,291854,986836
1997_IA,IA,1997,3406582,3485339,155528,501054
1997_KS,KS,1997,3029537,2949608,140182,468687
1997_KY,KY,1997,3842885,3903139,192093,669322
1997_LA,LA,1997,4106095,4027228,207966,776813
1997_ME,ME,1997,1537085,1527663,58543,212579
1997_MD,MD,1997,6040883,6217120,221995,830744
1997_MA,MA,1997,7585624,7479407,252519,949006
1997_MI,MI,1997,13759710,14235902,441403,1702717
