State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1993_UT,UT,1993,1638305.0,1665011.0,0.0,471365.0
1993_VT,VT,1993,837540.0,809853.0,0.0,102755.0
1993_VA,VA,1993,5918536.0,5955333.0,0.0,1045471.0
1993_WA,WA,1993,5270961.0,5791436.0,0.0,915952.0
1993_WV,WV,1993,1832154.0,1829848.0,0.0,314383.0
1993_WI,WI,1993,5357945.0,5640718.0,0.0,844001.0
1993_WY,WY,1993,615130.0,614807.0,0.0,100899.0
1994_AL,AL,1994,2970223.0,3103266.0,0.0,736531.0
1994_AK,AK,1994,1052282.0,1116160.0,0.0,127057.0
1994_AZ,AZ,1994,3566586.0,3803379.0,0.0,737424.0
1994_AR,AR,1994,1393287.0,1445984.0,0.0,447565.0
1994_CA,CA,1994,23440845.0,23012688.0,0.0,5407475.0
1994_CO,CO,1994,3061865.0,3113755.0,0.0,640521.0
1994_CT,CT,1994,4268860.0,4132350.0,0.0,506824.0
1994_DE,DE,1994,705798.0,732323.0,0.0,106813.0
1994_DC,DC,1994,735720.0,769818.0,0.0,80450.0
1994_FL,FL,1994,12315950.0,12469073.0,0.0,2111188.0
1994_GA,GA,1994,6824191.0,6597359.0,0.0,1270948.0
1994_HI,HI,1994,1133949.0,1146267.0,0.0,183795.0
1994_ID,ID,1994,949999.0,974781.0,0.0,240448.0
1994_IL,IL,1994,11309803.0,10743708.0,0.0,1916172.0
1994_IN,IN,1994,6121754.0,6061435.0,0.0,969022.0
1994_IA,IA,1994,2987394.0,2974072.0,0.0,500440.0
1994_KS,KS,1994,2700587.0,2643192.0,0.0,460838.0
1994_KY,KY,1994,2491948.0,2392549.0,0.0,657642.0
1994_LA,LA,1994,3571864.0,3539581.0,0.0,797933.0
1994_ME,ME,1994,1357116.0,1338353.0,0.0,212601.0
1994_MD,MD,1994,5141505.0,5187683.0,0.0,790938.0
1994_MA,MA,1994,6410757.0,6391131.0,0.0,893727.0
1994_MI,MI,1994,11762546.0,12023935.0,0.0,1614784.0
1994_MN,MN,1994,5262482.0,5581140.0,0.0,821693.0
1994_MS,MS,1994,1911579.0,1919812.0,0.0,505962.0
1994_MO,MO,1994,4488359.0,4575564.0,0.0,878541.0
1994_MT,MT,1994,878986.0,878084.0,0.0,164341.0
1994_NE,NE,1994,1710913.0,1769248.0,0.0,287100.0
1994_NV,NV,1994,1266549.0,1344245.0,0.0,250747.0
1994_NH,NH,1994,1145147.0,1119762.0,0.0,189319.0
1994_NJ,NJ,1994,6957898.0,6765105.0,0.0,1174206.0
1994_NM,NM,1994,1342868.0,1223759.0,0.0,327248.0
1994_NY,NY,1994,23933662.0,25359726.0,0.0,2766208.0
1994_NC,NC,1994,5648390.0,5740906.0,0.0,1156767.0
1994_ND,ND,1994,603902.0,621313.0,0.0,119288.0
1994_OH,OH,1994,10735756.0,10780138.0,0.0,1814290.0
1994_OK,OK,1994,1518540.0,1529205.0,0.0,609718.0
1994_OR,OR,1994,3088542.0,3191792.0,0.0,521945.0
1994_PA,PA,1994,13271564.0,13701725.0,0.0,1764946.0
1994_RI,RI,1994,1012987.0,994885.0,0.0,147487.0
1994_SC,SC,1994,3179542.0,3156251.0,0.0,648725.0
1994_SD,SD,1994,507927.0,525289.0,0.0,143482.0
1994_TN,TN,1994,3535898.0,3661470.0,0.0,881425.0
1994_TX,TX,1994,19713604.0,19224149.0,0.0,3677171.0
1994_UT,UT,1994,1792011.0,1846448.0,0.0,474675.0
1994_VT,VT,1994,892124.0,869710.0,0.0,104533.0
1994_VA,VA,1994,6125739.0,6276362.0,0.0,1060809.0
1994_WA,WA,1994,5739012.0,5968590.0,0.0,938314.0
1994_WV,WV,1994,1854403.0,1843973.0,0.0,310511.0
1994_WI,WI,1994,5682439.0,5860230.0,0.0,860581.0
1994_WY,WY,1994,674921.0,623146.0,0.0,100314.0
1995_AL,AL,1995,3367437.0,3353363.0,0.0,746149.0
1995_AK,AK,1995,1117068.0,1203817.0,0.0,127618.0
1995_AZ,AZ,1995,3815218.0,4056279.0,0.0,743566.0
