State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1993_MI,MI,1993,11034174,11430958,11704,132658,120049,116702,87447,0,0,1599377
1993_MN,MN,1993,4862635,5290504,6656,62345,63194,63105,54642,0,0,810233
1993_MS,MS,1993,1170109,1167032,2197,37622,39236,39815,26156,0,0,505907
1993_MO,MO,1993,4196601,4234845,13950,65679,66445,66371,50195,0,0,866378
1993_MT,MT,1993,813998,833435,483,12021,12967,12834,10325,0,0,163009
1993_NE,NE,1993,1625242,1642376,3577,21374,22391,22611,18578,0,0,285097
1993_NV,NV,1993,1148268,1265367,1237,19179,19305,17825,12749,0,0,235800
1993_NH,NH,1993,1109743,1091814,1292,8194,15630,14118,10635,0,0,185360
1993_NJ,NJ,1993,6747567,6641624,9225,90827,84767,79459,64402,0,0,1151307
1993_NM,NM,1993,1217194,1223185,1933,23723,24182,24899,16767,0,0,322292
1993_NY,NY,1993,22688753,23934282,31687,205238,198259,188274,143055,0,0,2733813
1993_NC,NC,1993,5583166,5475174,8469,93406,85989,86093,60856,0,0,1133231
1993_ND,ND,1993,580148,588983,615,8752,9266,9329,8066,0,0,119127
1993_OH,OH,1993,10841606,10385253,17210,140778,136317,141534,111932,0,0,1807319
1993_OK,OK,1993,1436505,1428916,5456,44864,48242,46153,34744,0,0,604076
1993_OR,OR,1993,3141217,3149126,837,37859,41290,39500,32828,0,0,516611
1993_PA,PA,1993,12269422,12809067,4181,131842,131575,130209,107244,0,0,1744082
1993_RI,RI,1993,919594,901540,465,11348,11603,10650,8094,0,0,145676
1993_SC,SC,1993,3031112,2994038,7244,45490,50357,50591,33949,0,0,643696
1993_SD,SD,1993,465650,481665,612,10574,11086,11427,8936,0,0,142825
1993_TN,TN,1993,3268642,3286481,9542,68462,65646,64124,47668,0,0,866557
1993_TX,TX,1993,20267205,18574871,120446,268646,284394,274208,178889,0,0,3608262
1993_UT,UT,1993,1638305,1665011,2690,33623,35467,38031,31692,0,0,471365
1993_VT,VT,1993,837540,809853,2024,7766,8457,7496,6227,0,0,102755
1993_VA,VA,1993,5918536,5955333,3186,81787,81615,78443,60314,0,0,1045471
1993_WA,WA,1993,5270961,5791436,5087,68908,73824,70666,55847,0,0,915952
1993_WV,WV,1993,1832154,1829848,3981,20077,22349,25677,21507,0,0,314383
1993_WI,WI,1993,5357945,5640718,17270,61136,63756,64669,53688,0,0,844001
1993_WY,WY,1993,615130,614807,0,7190,8046,8268,6548,0,0,100899
1994_AL,AL,1994,2970223,3103266,9051,57723,56773,59165,41730,0,0,736531
1994_AK,AK,1994,1052282,1116160,2593,10309,10318,9503,7057,0,0,127057
1994_AZ,AZ,1994,3566586,3803379,3540,59545,60032,55334,40119,0,0,737424
1994_AR,AR,1994,1393287,1445984,1652,35620,34488,36437,27161,0,0,447565
1994_CA,CA,1994,23440845,23012688,66450,448237,426919,388561,285132,0,0,5407475
1994_CO,CO,1994,3061865,3113755,9853,48673,51877,49332,35464,0,0,640521
1994_CT,CT,1994,4268860,4132350,7601,43511,40737,35665,28640,0,0,506824
1994_DE,DE,1994,705798,732323,618,7523,8367,8563,5865,0,0,106813
1994_DC,DC,1994,735720,769818,5508,7628,5783,5031,3203,0,0,80450
1994_FL,FL,1994,12315950,12469073,47993,172135,173297,155852,100720,0,0,2111188
1994_GA,GA,1994,6824191,6597359,12859,108398,101054,98982,64606,0,0,1270948
1994_HI,HI,1994,1133949,1146267,631,15678,14572,13592,10473,0,0,183795
1994_ID,ID,1994,949999,974781,1501,17260,18361,19680,15780,0,0,240448
1994_IL,IL,1994,11309803,10743708,42938,146314,143030,135134,109360,0,0,1916172
1994_IN,IN,1994,6121754,6061435,4660,71594,72408,77799,62727,0,0,969022
1994_IA,IA,1994,2987394,2974072,5901,37402,36960,39039,34078,0,0,500440
1994_KS,KS,1994,2700587,2643192,2640,33445,36488,36757,28811,0,0,460838
1994_KY,KY,1994,2491948,2392549,17934,44191,48233,50562,39482,0,0,657642
1994_LA,LA,1994,3571864,3539581,19292,60705,62461,57747,40666,0,0,797933
1994_ME,ME,1994,1357116,1338353,1006,16569,17397,16571,12534,0,0,212601
1994_MD,MD,1994,5141505,5187683,18834,62341,61982,57222,43223,0,0,790938
1994_MA,MA,1994,6410757,6391131,13982,77777,71131,64097,51618,0,0,893727
1994_MI,MI,1994,11762546,12023935,4409,136353,123829,117380,88136,0,0,1614784
1994_MN,MN,1994,5262482,5581140,8060,62908,64605,64607,55982,0,0,821693
1994_MS,MS,1994,1911579,1919812,1146,38528,38606,39970,26436,0,0,505962
1994_MO,MO,1994,4488359,4575564,16002,66607,68457,66025,52654,0,0,878541
1994_MT,MT,1994,878986,878084,483,11820,13009,13229,10681,0,0,164341
1994_NE,NE,1994,1710913,1769248,3985,21752,22144,23037,19144,0,0,287100
1994_NV,NV,1994,1266549,1344245,1424,20462,20573,18881,13659,0,0,250747
1994_NH,NH,1994,1145147,1119762,1210,8325,16352,14926,10919,0,0,189319
1994_NJ,NJ,1994,6957898,6765105,10283,92316,87374,80901,65662,0,0,1174206
1994_NM,NM,1994,1342868,1223759,4174,24055,24294,25443,16925,0,0,327248
1994_NY,NY,1994,23933662,25359726,32227,212239,202024,191181,144139,0,0,2766208
1994_NC,NC,1994,5648390,5740906,8949,97508,89492,86344,62324,0,0,1156767
1994_ND,ND,1994,603902,621313,639,8677,9236,9694,8418,0,0,119288
1994_OH,OH,1994,10735756,10780138,17505,141284,136834,142132,112266,0,0,1814290
1994_OK,OK,1994,1518540,1529205,5367,46355,47929,47149,35899,0,0,609718
1994_OR,OR,1994,3088542,3191792,1069,38930,41739,40473,33356,0,0,521945
1994_PA,PA,1994,13271564,13701725,3583,132132,135061,132994,109673,0,0,1764946
1994_RI,RI,1994,1012987,994885,469,10701,11549,10747,8440,0,0,147487
1994_SC,SC,1994,3179542,3156251,7972,46859,51268,50799,35376,0,0,648725
1994_SD,SD,1994,507927,525289,1244,10618,11116,11604,8925,0,0,143482
